"MCF-7_Rep1"	"MCF-7_Rep2"	"MCF-7_Rep3"	"GM12892_Rep1"	"GM12892_Rep2"	"GM12892_Rep3"	"H1-hESC_Rep1"	"H1-hESC_Rep2"	"H1-hESC_Rep3"	"H1-hESC_Rep4"
"LRP5"	16.7674	13.9733	36.7201	4.2694	2.98629	1.33839	16.5331	15.7255	15.0661	10.0738
"LRP5L"	1.10204	0.772807	2.69784	2.89242	3.81034	2.54105	4.84193	4.66174	5.24454	3.75075
"LRP6"	2.7816	3.1877	2.01316	0.468118	2.64533	0.482353	8.63503	6.20905	7.35069	9.86999
"LRP8"	3.38982	8.61906	5.41059	7.37105	3.7084	5.11794	12.0581	10.611	11.3273	10.2429
"LRPAP1"	9.22967	11.7464	14.2962	3.83616	2.59387	1.59793	6.48607	8.40659	7.53552	5.19641
"LRPPRC"	41.3931	24.1629	23.1948	44.7999	32.5673	39.5731	40.0299	31.8624	32.3464	44.6158
"LRR1"	20.7664	14.3151	16.5562	13.6997	10.2172	11.4206	14.732	15.1497	13.2947	12.03
"LRRC1"	10.5419	7.03084	8.82741	0.0871785	0.222521	0.0781704	4.41836	4.70084	4.59494	5.04769
"LRRC10"	0	0	0	0	0.0290799	0	0	0	0	0
"LRRC10B"	0.946331	0.0161582	2.22275	0	0	0	0.240971	0.345637	0.29599	0.146829
"LRRC14"	5.04477	2.62807	10.3122	5.34092	3.78904	2.51805	5.14511	5.16062	5.45255	3.33534
"LRRC14B"	0	0	0.0109065	0.0539475	0.0759024	0	0	0.0337025	0	0.026708
"LRRC15"	0.0309137	0	0.0694369	0	0	0.00586212	0.0850628	0.074224	0.0937898	0.0330791
"LRRC16A"	6.39904	9.26381	4.56515	1.35691	0.180768	1.75154	13.4147	10.5833	11.3808	14.6213
"LRRC16B"	0.351919	0.00372409	0.616667	0.548581	0.111191	0.264927	3.44786	3.13326	3.17024	2.58309
"LRRC17"	0.110514	0.00808674	0.0373307	0.0459608	0.0172696	0.0494371	1.30031	0.902765	0.719975	1.45547
"LRRC18"	0	0	0	0.0913592	0.220387	0.561305	0	0	0	0
"LRRC19"	0	0.0288162	0.00444067	0	0.0819676	0.117214	0.00710904	0.0068575	0.0282954	0.03292
"LRRC2"	0.0032355	0.0166088	0.00922033	0	0	0.0269999	1.42602	1.28607	1.46624	1.57515
"LRRC20"	5.17955	3.6343	7.52346	9.44357	4.6804	6.85275	10.3763	12.4245	11.992	7.38528
"LRRC23"	1.86304	1.39883	1.98002	4.64826	4.5536	4.18861	0.878363	1.57406	1.0995	1.5152
"LRRC24"	1.49762	0.50206	2.29536	0.98408	0.718971	0.105611	1.2958	1.67767	1.51794	0.644147
"LRRC25"	0.0433819	0	0	0.833378	2.38091	0.69426	0.132397	0.11626	0.0760866	0.0337044
"LRRC26"	3.31211	0.0162536	7.13107	0.817649	0.0347983	0.0332799	0.44463	0.600758	0.68216	0.109212
"LRRC27"	2.12165	0.770131	1.85317	1.81474	2.3464	2.0322	0.884178	1.12597	1.11451	1.1902
"LRRC28"	6.59142	5.63439	5.36958	7.30048	5.20627	5.62457	5.75026	5.59913	6.17463	5.26362
"LRRC29"	0.387848	1.4281	0.513228	1.00969	1.10008	0.47045	0.155663	0.33428	0.212868	0.11528
"LRRC3"	0.898522	1.51598	1.28246	0.225297	0.427241	0.115415	1.4546	1.22283	1.60118	1.20909
"LRRC30"	0	0	0	0	0	0	0	0	0	0
"LRRC31"	0.0140665	0	0	0.0163762	0.061557	0.0146808	0	0	0	0
"LRRC32"	0.0398299	0	0.0529323	2.14623	3.15623	1.16554	0.47724	0.496258	0.584671	0.308604
"LRRC33"	0.0562907	0.310088	0.033302	13.2514	9.49933	5.66929	2.73695	4.21775	4.05294	1.73917
"LRRC34"	0.0698794	0.172412	0	0.629005	3.01096	0.37999	0.925525	1.03065	1.12709	1.47853
"LRRC36"	0	0	0	0.0192008	0.380023	0.0172102	0.0252066	0.0481599	0.0371023	0.0191704
"LRRC37A"	0.66662	0.602494	0.55472	1.33694	1.83575	1.89727	2.29247	2.04772	2.16013	2.32713
"LRRC37A"	0	0	0	0	0	0	0	0	0	0
"LRRC37A2"	0.840737	0.841084	0.667902	1.81171	3.03743	2.51717	3.61778	3.20427	3.16864	3.58531
"LRRC37A2"	0	0	0	0	0	0	0	0	0	0
"LRRC37A3"	1.55669	0.240924	1.22374	0.726277	1.08412	1.10058	0.698719	0.802952	0.906551	0.820618
"LRRC37A4"	1.07312	1.30637	0.652736	4.93034	4.14792	5.33323	6.05906	5.2375	5.49613	5.73218
"LRRC37A4"	0	0	0	0	0	0	0	0	0	0
"LRRC37A4"	0	0	0	0	0	0	0	0	0	0
"LRRC37B"	0.823417	0.890708	0.705596	2.13475	2.49942	2.149	3.11041	2.98841	3.01113	2.79676
"LRRC37BP1"	1.15087	3.3875	0.82393	2.03289	3.02142	2.30769	3.14207	3.5639	3.72237	4.20711
"LRRC38"	0	0	0	0	0	0	0.199756	0.231042	0.223085	0.0648227
"LRRC39"	0.133132	0.0680263	0.0125291	0.217358	0.232835	0.389395	0.123299	0.154886	0.118618	0.306121
"LRRC3B"	0	0	0	0	0	0	0.573056	0.481684	0.588874	0.493156
"LRRC3C"	0	0	0	0	0.0507861	0	0	0	0	0
"LRRC4"	0.609607	0.0653489	0.578368	0.0952691	0.278815	0.246809	4.36536	5.83872	5.89321	4.19236
"LRRC40"	4.71006	8.06379	1.22182	6.94158	8.4648	10.1813	7.36259	6.48536	5.86666	9.61452
"LRRC41"	15.7682	24.998	19.2915	26.4532	16.0225	20.5826	16.5013	15.5973	15.8317	11.0557
"LRRC42"	12.6102	30.4912	9.43148	14.5844	11.1141	12.4986	27.1155	24.229	23.5833	29.1532
"LRRC43"	0.00928136	0.019005	0	0.0108119	0.0381507	0	0.0934043	0.162525	0.264221	0.0607696
"LRRC45"	9.72385	4.80674	18.755	8.72914	3.2992	2.86971	10.61	10.7824	10.2269	5.98354
"LRRC46"	1.08092	0.208095	0.951267	0.355145	0.161668	0.154322	0.169811	0.0539269	0.235147	0.214365
"LRRC47"	16.6254	17.5235	17.9641	13.2149	11.2175	7.99803	34.5407	31.7535	32.4097	23.2512
"LRRC48"	0.445218	0.216236	0.484046	0.228202	0.149883	0.142753	0.26264	0.125301	0.321325	0.198664
"LRRC49"	0.907607	2.45891	0.347642	0.804149	1.01296	0.878114	2.96498	2.76172	2.6628	3.63841
"LRRC4B"	0.225519	0.0296488	0.416476	0.0942161	0.126548	0.0965442	7.8055	9.4787	10.3491	4.39455
"LRRC4C"	0.0289851	0	0	0.00963371	0	0.0345585	0.100513	0.0910307	0.11902	0.145777
"LRRC52"	0.0171713	0	0.0805136	0	0	0	0	0.0248903	0.0506055	0
"LRRC55"	0	0	0	0	0.00671413	0	0.63151	0.503871	0.53937	0.519511
"LRRC56"	1.38703	0.387263	2.01199	0.51171	0.474263	0.180929	0.961901	1.03428	1.03546	0.535245
"LRRC57"	1.93909	6.89801	1.65486	3.74668	5.74319	4.76317	3.23147	2.57028	3.25974	3.26874
"LRRC58"	8.5758	8.53592	3.21709	4.08293	5.90725	8.0576	2.29486	2.04096	2.47862	3.57686
"LRRC59"	76.8367	110.424	108.119	30.9563	18.0153	16.5064	54.2388	51.5619	49.0283	43.2138
"LRRC6"	0.770209	0.258667	0.238408	0	0	0	0.548182	0.770193	0.70246	1.30044
"LRRC61"	6.51083	0.378881	15.0219	7.21234	6.75165	3.05264	13.1825	11.9736	12.4437	6.29296
"LRRC66"	0.00509719	0.104572	0	0.0355861	0.0111561	0.0106367	0.0387349	0.0447865	0.0461766	0.0238751
"LRRC69"	0.141242	0.129858	0.0132824	0.0823748	0.277864	0.17707	0.283859	0.348944	0.355977	0.680792
"LRRC7"	0.00792701	0.00271352	0	0	0	0	0.00399762	0.00387759	0.0200484	0.0124455
"LRRC70"	0.108796	0.0636943	0.0220529	0.289567	0.340042	0.373125	0.0356112	0.0454178	0.116698	0.0542726
"LRRC71"	0	0	0	0	0	0	0.0687748	0.091795	0.0403755	0.0834338
"LRRC72"	0	0	0	0	0	0	0	0	0	0
"LRRC8A"	23.164	70.5823	31.324	4.4807	2.23641	1.60454	46.2323	43.7466	42.957	30.3019
"LRRC8B"	1.79644	0.23126	0.879756	0.480041	0.891319	0.868989	3.39835	2.47203	3.23697	4.32239
"LRRC8C"	0.501615	6.27156	0.320834	0.572624	0.723884	0.556464	0.565343	0.388252	0.401653	0.634135
"LRRC8D"	6.6239	10.3045	4.12698	3.82331	2.86094	3.74466	13.8755	12.3635	13.1799	13.6252
"LRRC8E"	2.90738	3.10318	4.8488	0.0982048	0.133431	0.068495	1.34599	1.48382	1.5377	1.19817
"LRRCC1"	3.6906	2.71333	0.88996	2.61648	1.23552	3.44264	1.93079	1.97872	2.06823	3.06598
"LRRD1"	0.0064753	0	0	0	0.0141695	0	0	0	0	0
"LRRFIP1"	24.6653	50.2596	16.8468	29.1103	25.1758	33.3102	15.7212	12.9317	13.1117	17.2127
"LRRFIP2"	8.11356	26.172	5.28529	9.32158	8.11042	8.80017	6.17094	5.45594	5.3169	7.2888
"LRRIQ1"	0.015226	0.150079	0.00289319	0.0283311	0.00666686	0.0508225	0.0691585	0.102747	0.0969612	0.179124
"LRRIQ3"	0.0898222	0.368402	0.0453897	0.146358	0.366924	0.14997	0	0.0701002	0.0270748	0.0279921
"LRRIQ4"	0.117514	0	0.083214	0.0912741	0.257028	0.0817958	0.0150155	0.0857024	0.029291	0
"LRRK1"	0.924561	2.92635	0.84745	7.42215	6.28506	4.81241	0.575249	0.473494	0.633621	0.446098
"LRRK2"	0.0354197	0.223789	0.0151612	0.251179	0.124094	0.265962	0.0107	0.015605	0.0376914	0.0208949
"LRRN1"	0.0176161	0.0316332	0.00835784	0.00512352	0.00963992	0.0183787	70.4582	56.6007	63.0004	77.1469
"LRRN2"	1.53702	0.0163877	2.4693	0.092968	0.0699396	0.133379	1.10951	0.967	0.868129	0.785457
"LRRN3"	0.0191157	0.0147085	0.00453311	0.0278011	0.0313797	0.0698049	0.306348	0.117188	0.137186	0.257607
"LRRN4"	0	0.170593	0.0060618	0.00744979	0.0280106	0.0133582	0.185271	0.102984	0.115654	0.074726
"LRRN4CL"	0.101326	0.0163865	0.0506076	0	0	0.0278889	0.0458281	0.0586221	0.0506084	0.093544
"LRRTM1"	0	0	0	0.00921494	0	0	0.54409	0.716773	0.795955	0.534067
"LRRTM2"	0.00294215	0.199386	0.00559111	0.0205287	0.070855	0.165719	0.0089074	0.00863293	0	0.0138483
"LRRTM3"	0.0738118	0	0.067328	0	0	0	0.272634	0.142942	0.24626	0.215396
"LRRTM4"	0.00538907	0	0	0	0	0	1.25925	1.07853	1.18067	1.54316
"LRSAM1"	11.0064	5.62253	18.2331	8.52388	6.2148	3.89174	8.7054	8.17457	8.17546	5.99686
"LRTM1"	0	0	0	0	0	0	0	0.0213842	0	0.0337464
"LRTM2"	0.076589	0	0.133259	0.00494816	0	0	0.0387327	0.0249362	0	0.00998053
"LRTOMT"	5.45101	2.97618	5.45442	3.23135	2.50323	3.71171	3.32816	3.04819	2.79121	2.7367
"LRWD1"	13.5785	10.8735	26.5656	10.365	4.48041	2.26241	13.9299	13.4569	13.1815	7.65794
"LSAMP"	0	0.00176971	0.00327716	0.448563	0.603504	0.438331	0.658209	0.597034	0.733285	0.829287
"LSAMP-AS3"	0	0	0	0	0	0	0	0	0	0
"LSG1"	21.0715	11.547	20.1993	9.21968	7.8456	6.90043	17.4605	15.1702	15.6265	17.7201
"LSM1"	26.1701	31.6227	17.3623	24.3031	28.379	23.8804	25.2893	23.8674	21.6311	23.9252
"LSM10"	25.5849	29.2713	39.5981	26.8051	23.2911	18.014	43.3496	48.8521	39.7134	27.3852
"LSM11"	2.3957	1.63938	2.08939	0.95842	1.69817	0.971918	1.81076	1.47044	1.84822	1.68483
"LSM12"	27.4405	30.0133	16.0567	24.2269	31.1012	29.4629	33.4852	36.3033	34.7378	36.8562
"LSM14A"	35.1533	22.759	25.3709	32.1322	31.1608	32.6536	45.382	40.2944	40.9747	53.2639
"LSM14B"	37.7583	14.3887	34.4269	21.4073	14.6297	14.9619	31.0652	33.5238	30.4933	27.0432
"LSM2"	51.9283	50.4914	50.1159	84.1868	65.3969	63.9662	76.8997	90.2663	82.5393	77.8343
"LSM2"	0	0	0	0	0	0	0	0	0	0
"LSM2"	0	0	0	0	0	0	0	0	0	0
"LSM2"	0	0	0	0	0	0	0	0	0	0
"LSM2"	0	0	0	0	0	0	0	0	0	0
"LSM2"	0	0	0	0	0	0	0	0	0	0
"LSM3"	150.284	92.7433	42.7415	91.3186	70.4316	82.8638	67.6329	59.601	52.7046	104.284
"LSM4"	114.597	105.288	121.46	96.0328	75.3402	50.6994	154.807	172.233	152.242	121.523
"LSM5"	38.7986	14.103	14.2538	12.4363	16.9212	13.9601	11.7147	12.8892	12	16.8796
"LSM6"	21.0202	19.9881	8.44878	47.6061	36.8562	42.7083	25.9517	29.8385	28.7238	59.7409
"LSM7"	119.315	144.007	183.86	128.417	92.0368	47.2683	214.11	244.403	218.933	217.049
"LSMD1"	42.1574	40.0325	60.131	22.5332	22.2956	16.5886	12.3355	13.4767	12.5136	7.71351
"LSP1"	0.0541017	0.0368807	0.0283198	393.598	226.796	176.69	0.055537	0.0175029	0.035799	0
"LSR"	66.6809	75.0012	123.923	16.6932	6.38707	4.79251	95.516	92.5856	85.8272	65.7388
"LSS"	38.2676	70.5788	74.1933	24.6605	19.7436	12.8326	45.5686	39.738	39.6566	31.7039
"LST1"	0.0349538	0	0.0712907	5.97079	19.6358	6.84226	0.106794	0.0621885	0.0613755	0.18895
"LST1"	0	0	0	0	0	0	0	0	0	0
"LST1"	0	0	0	0	0	0	0	0	0	0
"LST1"	0	0	0	0	0	0	0	0	0	0
"LST1"	0	0	0	0	0	0	0	0	0	0
"LST1"	0	0	0	0	0	0	0	0	0	0
"LST1"	0	0	0	0	0	0	0	0	0	0
"LST1"	0	0	0	0	0	0	0	0	0	0
"LTA"	0.0535198	0	0.0118751	132.366	67.4871	76.5558	0.0194387	0.0194565	0.039732	0.0307607
"LTA"	0	0	0	0	0	0	0	0	0	0
"LTA"	0	0	0	0	0	0	0	0	0	0
"LTA"	0	0	0	0	0	0	0	0	0	0
"LTA"	0	0	0	0	0	0	0	0	0	0
"LTA"	0	0	0	0	0	0	0	0	0	0
"LTA"	0	0	0	0	0	0	0	0	0	0
"LTA4H"	37.3416	67.1237	24.6851	33.814	36.0148	29.2088	76.5353	73.564	71.1622	79.6378
"LTB"	0.146171	0.0247709	0.0907846	36.6453	42.2109	17.7791	0.07157	0.210604	0.344204	0.328076
"LTB"	0	0	0	0	0	0	0	0	0	0
"LTB"	0	0	0	0	0	0	0	0	0	0
"LTB"	0	0	0	0	0	0	0	0	0	0
"LTB"	0	0	0	0	0	0	0	0	0	0
"LTB"	0	0	0	0	0	0	0	0	0	0
"LTB"	0	0	0	0	0	0	0	0	0	0
"LTB"	0	0	0	0	0	0	0	0	0	0
"LTB4R"	4.5004	3.55508	7.59144	3.64525	2.46274	2.72096	4.10982	4.43699	4.3162	3.22534
"LTB4R2"	2.47172	4.03759	4.38642	3.14335	1.45961	0.764993	2.73662	2.18462	2.896	1.7152
"LTBP1"	8.76436	6.79578	10.9076	0.114015	0.21259	0.0762236	10.4927	9.28936	10.2945	8.78066
"LTBP2"	1.0559	42.8793	1.39721	0.0489249	0.0544504	0.0797983	0.286116	0.356722	0.305242	0.243663
"LTBP3"	10.9881	15.6215	18.8186	1.60483	1.04938	0.328679	2.25809	2.71711	2.81118	1.17115
"LTBP4"	5.33191	11.6215	9.21216	2.46547	1.01334	0.594809	14.3488	17.782	18.4362	8.90813
"LTBR"	41.6068	64.4154	49.1155	0.126504	0.749451	0.0348887	3.02819	3.18481	3.00781	2.07858
"LTC4S"	0.973258	0.50974	1.0232	0.196768	0.0731589	0.140631	0.484872	1.10365	0.383117	0.221572
"LTF"	0	0.0070746	0	0.0241073	0.0302074	0.043224	0.252641	0.285832	0.294129	0.177106
"LTK"	0	0	0.0357034	0.0219361	0.131719	0.0655571	0.0795768	0.0735224	0.0575371	0.0440197
"LTN1"	3.93953	4.89376	1.37539	3.00927	4.63941	4.96077	3.47415	2.21356	2.58595	4.00869
"LTV1"	20.3664	19.7468	10.1815	21.8803	14.3312	17.2933	20.8967	17.2739	15.4117	27.831
"LUC7L"	35.2198	12.3763	26.7439	14.5468	15.1171	12.0568	36.2091	35.1303	32.2182	33.3454
"LUC7L2"	37.8174	34.2383	27.1432	31.1553	29.6877	26.7783	22.0352	22.4951	22.4881	26.4663
"LUC7L3"	52.5776	30.9289	15.3135	60.4558	61.2732	54.3951	48.4731	46.9147	43.5818	75.8471
"LUM"	0.19939	0	0.0235643	0	0	0	0.127031	0.0121331	0.0249244	0.173854
"LUZP1"	4.59742	16.839	3.23767	5.01853	4.67554	3.20889	11.6723	9.77455	10.7396	10.0547
"LUZP2"	0.0378911	0	0.00899897	0	0	0	0.339503	0.231584	0.268044	0.542208
"LUZP4"	0	0	0	0	0.0227542	0	0	0	0	0
"LUZP6"	54.8343	70.2816	25.216	29.3158	36.4158	29.7424	21.4823	17.1369	18.3956	30.1692
"LXN"	106.201	4.8658	41.494	8.43367	8.3829	9.39299	2.6073	2.80552	1.75681	2.67872
"LY6D"	4.08002	0.0797158	4.6706	0.0306068	0.0570727	0	0	0	0	0
"LY6E"	184.904	165.627	370.021	171.303	86.4696	59.5821	40.2642	52.5356	46.7593	26.039
"LY6G5B"	5.61876	2.78307	7.6137	12.2889	7.65438	5.62286	15.0408	11.0686	11.795	10.1451
"LY6G5B"	0	0	0	0	0	0	0	0	0	0
"LY6G5B"	0	0	0	0	0	0	0	0	0	0
"LY6G5B"	0	0	0	0	0	0	0	0	0	0
"LY6G5B"	0	0	0	0	0	0	0	0	0	0
"LY6G5B"	0	0	0	0	0	0	0	0	0	0
"LY6G5B"	0	0	0	0	0	0	0	0	0	0
"LY6G5C"	3.04617	0.48465	3.01752	0.629716	0.71649	0.562849	0.571125	0.471147	0.300449	0.463694
"LY6G5C"	0	0	0	0	0	0	0	0	0	0
"LY6G5C"	0	0	0	0	0	0	0	0	0	0
"LY6G5C"	0	0	0	0	0	0	0	0	0	0
"LY6G5C"	0	0	0	0	0	0	0	0	0	0
"LY6G5C"	0	0	0	0	0	0	0	0	0	0
"LY6G5C"	0	0	0	0	0	0	0	0	0	0
"LY6G6C"	0.254789	0.306342	0.712884	0	0	0	0.109304	0.167032	0.101186	0.156369
"LY6G6C"	0	0	0	0	0	0	0	0	0	0
"LY6G6C"	0	0	0	0	0	0	0	0	0	0
"LY6G6C"	0	0	0	0	0	0	0	0	0	0
"LY6G6C"	0	0	0	0	0	0	0	0	0	0
"LY6G6C"	0	0	0	0	0	0	0	0	0	0
"LY6G6C"	0	0	0	0	0	0	0	0	0	0
"LY6G6D"	0.0755542	0	0	0	0	0	0.661338	1.35727	0.69825	0.152712
"LY6G6D"	0	0	0	0	0	0	0	0	0	0
"LY6G6D"	0	0	0	0	0	0	0	0	0	0
"LY6G6D"	0	0	0	0	0	0	0	0	0	0
"LY6G6D"	0	0	0	0	0	0	0	0	0	0
"LY6G6D"	0	0	0	0	0	0	0	0	0	0
"LY6G6D"	0	0	0	0	0	0	0	0	0	0
"LY6G6E"	0	0	0	0	0	0	0.137213	0	0	0.0908517
"LY6G6E"	0	0	0	0	0	0	0	0	0	0
"LY6G6E"	0	0	0	0	0	0	0	0	0	0
"LY6G6E"	0	0	0	0	0	0	0	0	0	0
"LY6G6E"	0	0	0	0	0	0	0	0	0	0
"LY6G6E"	0	0	0	0	0	0	0	0	0	0
"LY6G6E"	0	0	0	0	0	0	0	0	0	0
"LY6G6F"	0.0452124	0	0.0421886	0	0	0	0	0.0326191	0.0988638	0
"LY6G6F"	0	0	0	0	0	0	0	0	0	0
"LY6G6F"	0	0	0	0	0	0	0	0	0	0
"LY6G6F"	0	0	0	0	0	0	0	0	0	0
"LY6G6F"	0	0	0	0	0	0	0	0	0	0
"LY6G6F"	0	0	0	0	0	0	0	0	0	0
"LY6G6F"	0	0	0	0	0	0	0	0	0	0
"LY6H"	0.609712	0	0.976057	0	0	0	0.204965	0.314422	0.177804	0.147446
"LY6K"	0.199225	10.5014	0.192743	0.360874	0.0235167	0.214348	0.0554634	0.0613826	0.0314414	0
"LY75"	0.00369148	1.58084	0.00789843	30.3775	40.2577	33.883	0.406538	0.37782	0.580966	0.375687
"LY75-CD302"	0.00295932	0.450557	4.44176e-16	1.14173	2.09635	2.06582	0.247616	0.301848	0.3926	0.493086
"LY86"	0	0	0	84.8035	59.1309	75.5565	0	0	0	0
"LY86-AS1"	0	0	0	2.59474	1.89052	2.78855	0	0	0	0
"LY9"	0.0141161	0	0	5.80504	2.78205	2.81756	0	0	0	0
"LY96"	0	0.304578	0	10.1545	21.3131	14.7877	0	0	0	0
"LYAR"	17.0126	26.3838	7.28981	26.752	20.8879	21.9851	21.3689	19.5176	16.7841	27.2568
"LYG1"	0.0800222	0.0815285	0.224544	0.560939	0.436935	0.836701	0.437884	0.694311	0.351764	0.634601
"LYG2"	0	0.0960477	0	0.0276069	0.051533	0.296348	0.111496	0.170173	0.103037	0.583788
"LYL1"	0	0.0102486	0	2.81176	2.3653	0.334566	0.261124	0.30666	0.149688	0.139165
"LYN"	4.72813	8.01987	3.32821	40.1262	51.2373	33.5526	13.2458	11.9465	11.4217	14.1498
"LYNX1"	1.43967	0.668214	1.25815	0.0170763	0.0636653	0	0.991754	1.53515	1.33894	0.709113
"LYPD1"	37.8146	1.8644	21.764	0.0104475	0	0	0.751489	0.720307	0.698665	0.68592
"LYPD2"	0.0465456	0	0.085	0.0547698	0	0	0	0	0	0
"LYPD3"	29.8817	20.391	55.4307	0.0861002	0.300092	0.0881732	2.75532	3.60028	2.67943	2.02682
"LYPD4"	0	0	0.00942902	0	0	0	0	0	0	0
"LYPD5"	0	3.77813	0.00663378	0.048956	0.0920109	0.0585173	0.352778	0.440615	0.569211	0.392244
"LYPD6"	7.74248	0.0378919	8.42988	0.133624	0.00897601	0.196872	3.05581	2.32097	2.54481	3.32222
"LYPD6B"	12.8818	0.0236674	14.7529	2.54902	2.62285	1.53058	1.45967	1.3818	1.39661	1.3354
"LYPLA1"	30.3769	40.2491	8.10257	27.7947	37.2369	37.922	20.2176	16.514	17.5141	24.9488
"LYPLA2"	37.4362	53.3076	45.0873	31.6818	22.7551	19.2391	97.3937	96.1141	86.8491	58.6443
"LYPLAL1"	6.16268	7.56518	2.27321	8.54089	6.83761	9.10865	1.68537	2.18108	2.50471	3.46723
"LYRM1"	24.3547	9.88832	10.346	11.5292	16.6363	14.3415	5.1943	5.94539	4.76696	6.98175
"LYRM2"	9.09785	7.09707	3.44658	3.96312	4.50124	4.82411	2.79594	2.46102	2.4414	3.46507
"LYRM4"	9.51266	23.7659	7.17031	37.0853	26.862	30.509	37.5537	31.5293	28.0806	30.6502
"LYRM5"	6.50303	5.45981	1.28665	6.4841	7.80767	9.69921	0.973889	0.83479	0.699056	1.93151
"LYRM7"	1.44905	3.28851	0.376179	4.73217	7.77348	7.7011	1.30616	1.41893	1.47933	2.43344
"LYSMD1"	5.49058	2.14346	4.37492	3.40034	1.5533	3.727	2.58748	3.0312	2.76191	2.73282
"LYSMD2"	6.58819	5.11145	1.89802	14.3939	19.867	23.8643	0.63784	0.714063	0.838853	0.771843
"LYSMD3"	7.55171	5.07559	1.36585	2.2178	6.75522	3.22341	1.87199	1.6769	1.75515	3.04621
"LYSMD4"	2.30528	3.07051	2.79234	2.16438	0.988176	1.50039	5.1915	4.2951	4.2359	4.51371
"LYST"	0.525029	1.72501	0.288803	1.84902	1.59892	2.08455	0.0254376	0.0176931	0.0238257	0.0597489
"LYVE1"	0	0	0	0	0	0.0144581	0.0422547	0	0.0729363	0.032311
"LYZ"	0.234655	0.069925	0.0909617	0.1503	0.142542	0.0630198	0.241589	0.092234	0.232053	0.0556511
"LYZL1"	0.1544	0	0.0478879	0	0	0	0	0	0	0
"LYZL2"	0.0548172	0	0	0	0	0	0	0	0	0
"LYZL4"	0	0	0	0.0823317	0	0.0491005	0	0	0	0
"LYZL6"	0	0	0	0	0	0	0	0	0	0
"LZIC"	11.3477	11.0868	3.62631	4.53871	4.94436	4.94467	4.46384	3.53808	4.23852	8.22683
"LZTFL1"	2.58355	2.72704	0.823027	1.85124	7.53221	2.16481	1.12166	1.21986	1.39346	2.09137
"LZTR1"	4.96864	11.6522	10.3177	10.9004	6.2067	6.02496	9.27542	9.76849	9.12349	5.90259
"LZTS1"	0	1.70542	0	0.0176565	0	0	3.35148	3.33647	3.28735	2.25058
"LZTS2"	8.36436	18.6033	13.694	3.9655	8.11481	1.4071	29.4009	33.1638	33.1396	15.3631
"M1"	0.0445995	0	0	0	0	0	0	0.0631905	0	0
"M6PR"	43.3265	37.6434	38.2673	40.0227	31.6836	30.5567	62.402	59.6408	59.929	83.1087
"MAB21L1"	0.0235558	0.17512	0.0111605	0.0411227	0	0.0122903	0.00896364	0.00861811	0.00887722	0.0275345
"MAB21L2"	0.13649	0	0.0587716	0.0144424	0.0814597	0.220126	0.0661423	0.0181537	0.00934629	0.0724687
"MAB21L3"	1.64792	0.216011	0.289525	0.318577	0.91031	0.626258	0.192107	0.539628	0.492692	1.26441
"MACC1"	1.37689	0.302779	0.441915	2.70122	1.08209	4.51499	1.7811	1.70925	1.92207	2.26477
"MACF1"	6.74031	16.176	7.32022	18.3999	7.6302	13.2193	23.5823	19.3086	21.3517	22.8316
"MACROD1"	27.9715	4.5946	40.3667	7.19186	2.88464	1.31634	8.08227	13.1116	10.3362	3.53889
"MACROD2"	1.66745	0.0773424	0.724534	4.37311	0.289527	5.36862	0.130609	0.302726	0.207535	0.166328
"MACROD2-AS1"	0.198861	0	0.0918967	0	0	0	0	0	0	0
"MAD1L1"	11.2954	11.0556	21.2075	15.7483	13.5631	5.44331	13.8864	14.6495	13.6164	8.04206
"MAD2L1"	42.6836	39.1462	19.7096	43.8401	37.6951	51.2716	39.7909	40.9842	33.8455	47.1213
"MAD2L1BP"	14.5034	16.9659	15.6526	13.9485	10.9983	11.4809	19.5515	16.9204	19.3832	15.5592
"MAD2L2"	33.3025	27.4577	47.1047	41.8654	25.5756	24.9375	175.76	208.27	185.966	140.932
"MADCAM1"	0.0594596	0.0300982	0.0559743	0.0343819	0	0.0615835	0.745836	1.52215	1.6265	0.67552
"MADD"	16.0262	6.48607	23.4892	7.57256	4.95134	4.38111	12.6921	10.5386	10.8507	10.6517
"MAEA"	31.9057	47.898	50.9591	19.6876	13.4317	8.3995	43.7254	40.375	37.4207	29.0691
"MAEL"	0.0207678	0	0	0.108899	0.02271	0.0433702	0.0159396	0.045415	0	0.0240324
"MAF"	2.12547	3.01536	0.893592	0.00758041	0	0	1.01631	1.05814	1.2634	0.921391
"MAF1"	82.158	36.1732	105.001	26.2864	20.9175	12.9866	52.1037	55.2649	51.5142	34.6183
"MAFA"	0.974849	0	1.47741	0.26455	0	0.0153003	0.425097	0.50353	0.308467	0.290361
"MAFB"	7.0158	0.181216	7.26588	0.0234917	0	0.0421304	0.690345	0.591339	0.701188	0.484707
"MAFF"	1.20193	10.1955	0.640227	2.73337	2.96831	1.67592	2.33383	1.73802	1.92647	1.85025
"MAFG"	6.37059	6.05207	7.99189	7.57166	6.28578	3.93828	14.4913	15.6	15.1141	11.5525
"MAFIP"	0	0	0	0	0	0	0	0	0	0
"MAFK"	9.6207	5.43762	14.0366	6.58675	2.47128	1.16225	6.94859	7.2678	7.41969	4.92943
"MAG"	0.0718151	0	0.129142	0.0668879	0.172847	0.0292202	0.174293	0.11548	0.214713	0.114257
"MAGEA1"	0	0	0	0	0.0230385	0	0	0	0	0
